question	answer	source	meta
Tell me about  Hazards of Centralization?	See: [Hazards of Centralization](omisego-official-guide-1/key-concepts/hazards-of-centralization)	GitBook	
Tell me about  Key concepts?	See: [Key concepts](omisego-official-guide-1/key-concepts/README)	GitBook	
Tell me about  OMG Network Knowledge Base?	See: [OMG Network Knowledge Base](README)	GitBook	
Tell me about  OMG Network?	See: [OMG Network](omg-network/omg-network)	GitBook	
Tell me about  OMG basics?	See: [OMG basics](omisego-official-guide-1/omg-basics/README)	GitBook	
Tell me about  OMG token allocation & airdrop?	See: [OMG token allocation & airdrop](omisego-official-guide-1/how-was-omisego-launched/omg-token-allocation-and-airdrop)	GitBook	
Tell me about  OMG token function?	See: [OMG token function](omisego-official-guide-1/key-concepts/omg-token-function)	GitBook	
Tell me about  OMG token?	See: [OMG token](omg-network/omg-token)	GitBook	
Tell me about  Official AMAs?	See: [Official AMAs](faq/official-amas)	GitBook	
Tell me about  Plasma: The Basics?	See: [Plasma: The Basics](omisego-official-guide-1/key-concepts/plasma-the-basics)	GitBook	
Tell me about  PoA?	See: [PoA](initial-release/poa)	GitBook	
Tell me about  Proof of Stake \(PoS\)?	See: [Proof of Stake \(PoS\)](omisego-official-guide-1/key-concepts/proof-of-stake-pos)	GitBook	
Tell me about  Roadmap?	See: [Roadmap](omg-network/roadmap)	GitBook	
Tell me about  Scalability Network Mechanism?	See: [Scalability Network Mechanism](omisego-official-guide-1/omg-basics/scalability-network-mechanism)	GitBook	
Tell me about  Scalability with Plasma?	See: [Scalability with Plasma](omisego-official-guide-1/key-concepts/scalability-with-plasma)	GitBook	
Tell me about  Tengen: the end game?	See: [Tengen: the end game](omg-network/tengen-the-end-game)	GitBook	
Tell me about  The path to a more viable plasma?	See: [The path to a more viable plasma](videos/the-path-to-a-more-viable-plasma)	GitBook	
Tell me about  Token burning?	See: [Token burning](initial-release/token-burning)	GitBook	
Tell me about  Unbanking the Banked?	See: [Unbanking the Banked](omisego-official-guide-1/key-concepts/unbanking-the-banked)	GitBook	
Tell me about  White-label Wallet Software Development Kit \(SDK\)?	See: [White-label Wallet Software Development Kit \(SDK\)](omisego-official-guide-1/omg-basics/white-label-wallet-software-development-kit-sdk)	GitBook	
Tell me about  eWallet Suite?	See: [eWallet Suite](omisego-official-guide-1/omg-basics/ewallet-suite)	GitBook	
What is  Community & Communication?	See: [Community & Communication](omisego-official-guide-1/community-and-communication)	GitBook	
What is  Community Q&A?	See: [Community Q&A](faq/faq)	GitBook	
What is  Decentralized Cash In/Out Layer?	See: [Decentralized Cash In/Out Layer](omisego-official-guide-1/omg-basics/decentralized-cash-in-out-layer)	GitBook	
What is  Decentralized Exchange \(DEX\)?	See: [Decentralized Exchange \(DEX\)](omisego-official-guide-1/omg-basics/decentralized-exchange-dex)	GitBook	
What is  Decentralized Network?	See: [Decentralized Network](omisego-official-guide-1/key-concepts/decentralized-network)	GitBook	
What is  Decentralizing Consensus?	See: [Decentralizing Consensus](videos/decentralizing-consensus)	GitBook	
What is  Hazards of Centralization?	See: [Hazards of Centralization](omisego-official-guide-1/key-concepts/hazards-of-centralization)	GitBook	
What is  Key concepts?	See: [Key concepts](omisego-official-guide-1/key-concepts/README)	GitBook	
What is  OMG Network Knowledge Base?	See: [OMG Network Knowledge Base](README)	GitBook	
What is  OMG Network?	See: [OMG Network](omg-network/omg-network)	GitBook	
What is  OMG basics?	See: [OMG basics](omisego-official-guide-1/omg-basics/README)	GitBook	
What is  OMG token allocation & airdrop?	See: [OMG token allocation & airdrop](omisego-official-guide-1/how-was-omisego-launched/omg-token-allocation-and-airdrop)	GitBook	
What is  OMG token function?	See: [OMG token function](omisego-official-guide-1/key-concepts/omg-token-function)	GitBook	
What is  OMG token?	See: [OMG token](omg-network/omg-token)	GitBook	
What is  Official AMAs?	See: [Official AMAs](faq/official-amas)	GitBook	
What is  Plasma: The Basics?	See: [Plasma: The Basics](omisego-official-guide-1/key-concepts/plasma-the-basics)	GitBook	
What is  PoA?	See: [PoA](initial-release/poa)	GitBook	
What is  Proof of Stake \(PoS\)?	See: [Proof of Stake \(PoS\)](omisego-official-guide-1/key-concepts/proof-of-stake-pos)	GitBook	
What is  Roadmap?	See: [Roadmap](omg-network/roadmap)	GitBook	
What is  Scalability Network Mechanism?	See: [Scalability Network Mechanism](omisego-official-guide-1/omg-basics/scalability-network-mechanism)	GitBook	
What is  Scalability with Plasma?	See: [Scalability with Plasma](omisego-official-guide-1/key-concepts/scalability-with-plasma)	GitBook	
What is  Tengen: the end game?	See: [Tengen: the end game](omg-network/tengen-the-end-game)	GitBook	
What is  The path to a more viable plasma?	See: [The path to a more viable plasma](videos/the-path-to-a-more-viable-plasma)	GitBook	
What is  Token burning?	See: [Token burning](initial-release/token-burning)	GitBook	
What is  Unbanking the Banked?	See: [Unbanking the Banked](omisego-official-guide-1/key-concepts/unbanking-the-banked)	GitBook	
What is  White-label Wallet Software Development Kit \(SDK\)?	See: [White-label Wallet Software Development Kit \(SDK\)](omisego-official-guide-1/omg-basics/white-label-wallet-software-development-kit-sdk)	GitBook	
What is  eWallet Suite?	See: [eWallet Suite](omisego-official-guide-1/omg-basics/ewallet-suite)	GitBook	
What is OmiseGO?	See: [What is OmiseGO?](omisego-official-guide-1/what-is-omisego)	GitBook	
What is included?	See: [What is included?](initial-release/what-is-included)	GitBook	
What is the OMG network ?	See: [What is the OMG network ?](omg-network/what-is-the-omg-network)	GitBook	
What will OmiseGO do with themselves once the network is built?	See: [What will OmiseGO do with themselves once the network is built?](omisego-official-guide-1/what-will-omisego-do-with-themselves-once-the-network-is-built)	GitBook	
Who will use the network?	See: [Who will use the network?](omisego-official-guide-1/who-will-use-the-network)	GitBook	
Why did a for-profit company choose to invest in building a public network?	See: [Why did a for-profit company choose to invest in building a public network?](omisego-official-guide-1/why-did-a-for-profit-company-choose-to-invest-in-building-a-public-network)	GitBook	
Why do we need OMG?	See: [Why do we need OMG?](omisego-official-guide-1/why-do-we-need-omg)	GitBook	
